,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1606,"2,3,5-Tricyano-1,3-cyclopentadiene",N#CC1C=C(C#N)C(=C1)C#N,215395-09-8,"cyclopenta-2,5-diene-1,2,4-tricarbonitrile",DCE,C(CCl)Cl,38,leito_acids
92,133213-11-3,NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,19.66,MeCN_Acids_COSMO-RS_2008_Table.pdf
838,133213-11-3,NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,19.66,Ejoc202001649-sup-00001-misc_information.pdf
1068,133213-11-3,NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",DMSO,CS(=O)C,7.8,Ejoc202001649-sup-00001-misc_information.pdf
1458,"2,4,6-(SO2F)3-aniline",NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,19.66,leito_acids
884,915038-14-1,O[P]1(=O)OC2=C(C=C3C=CC=CC3=C2C4=C(O1)C(=CC5=CC=CC=C45)C6=CC=C(F)C=C6)C7CC=C(F)C=C7,915038-14-1,-,MeCN,CC#N,12.46,Ejoc202001649-sup-00001-misc_information.pdf
1492,Substance7,O[P]1(=O)OC2=C(C=C3C=CC=CC3=C2C4=C(O1)C(=CC5=CC=CC=C45)C6=CC=C(F)C=C6)C7CC=C(F)C=C7,915038-14-1,,MeCN,CC#N,12.5,leito_acids
1483,Substance2,O[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)[C]78=C9C%10=C%11[C-]7[Fe++]89%10%11%12%13%14%15[C-]%16C%12=C%13C%14=[C]%15%16C%17=CC3=C(O1)C(=C%17)C%18=CC(=CC(=C%18)C%19=CC=CC=C%19)C%20=CC=CC=C%20,1609325-04-3,,MeCN,CC#N,13.9,leito_acids
1487,Substance4,O[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)C7=CC=CC8=C9C=CC=C(C%10=CC3=C(O1)C(=C%10)C%11=CC(=CC(=C%11)C%12=CC=CC=C%12)C%13=CC=CC=C%13)C9=C78,1630950-45-6,,MeCN,CC#N,13.3,leito_acids
223,C(CN)2=C(CN)OH,OC(C#N)=C(C#N)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.69,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
247,C(CN)2=C(CN)OH,OC(C#N)=C(C#N)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",DCE,C(CCl)Cl,35.9,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
504,C(CN)2=C(CN)OH,OC(C#N)=C(C#N)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.39,a_unified_view_to_bronsted_acidity_scales.pdf
52,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris((trifluoromethyl)sulfonyl)phenol",MeCN,CC#N,4.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
967,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris((trifluoromethyl)sulfonyl)phenol",MeCN,CC#N,4.44,Ejoc202001649-sup-00001-misc_information.pdf
1020,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris((trifluoromethyl)sulfonyl)phenol",H2O,O,-2,Ejoc202001649-sup-00001-misc_information.pdf
1130,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris((trifluoromethyl)sulfonyl)phenol",DCE,C(CCl)Cl,38.4,Ejoc202001649-sup-00001-misc_information.pdf
926,1263293-54-4,OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF,1263293-54-4,,MeCN,CC#N,8.14,Ejoc202001649-sup-00001-misc_information.pdf
1517,"2,4,6-(SO2OCH2CF2CF2H)3-phenol",OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF,1263293-54-4,,MeCN,CC#N,8.17,leito_acids
927,1263293-53-3,OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F,1263293-53-3,-,MeCN,CC#N,7.94,Ejoc202001649-sup-00001-misc_information.pdf
1519,"2,4,6-(SO2OCH2CF3)3-Phenol",OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F,1263293-53-3,,MeCN,CC#N,7.97,leito_acids
48,882492-01-5,OC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,5.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
