,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1626,HBF4,[H+].[B-](F)(F)(F)F,16872-11-0,hydron;tetrafluoroborate,DCE,C(CCl)Cl,35,leito_acids
1624,HB(CN)(CF3)3,[H+].FC(F)(F)[B-](C#N)(C(F)(F)F)C(F)(F)F,863678-02-8,,DCE,C(CCl)Cl,35.7,leito_acids
1648,HB(CN)4,[H+].N#C[B-](C#N)(C#N)C#N,623575-99-5,,DCE,C(CCl)Cl,31.7,leito_acids
187,Nitricacid,[N+](=O)(O)[O-],7697-37-2,nitric acid,MeCN,CC#N,8.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
1614,HNO3,[N+](=O)(O)[O-],7697-37-2,nitric acid,DCE,C(CCl)Cl,43.6,leito_acids
1193,302-01-2,[NH3+]N,18500-32-8,aminoazanium,H2O,O,7.96,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1262,302-01-2,[NH3+]N,18500-32-8,aminoazanium,DMSO,CS(=O)C,10.1,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1325,302-01-2,[NH3+]N,18500-32-8,aminoazanium,MeCN,CC#N,16.61,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1393,302-01-2,[NH3+]N,18500-32-8,aminoazanium,THF,C1CCOC1,13.5,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1166,7664-41-7,[NH4+],14798-03-9,azanium,H2O,O,9.21,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1238,7664-41-7,[NH4+],14798-03-9,azanium,DMSO,CS(=O)C,10.5,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1299,7664-41-7,[NH4+],14798-03-9,azanium,MeCN,CC#N,16.46,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
440,C6F5SO2NHSO2C6H3-3-NO2-4-Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.18,DCE_2011_pKa_Table_MeCN.pdf
720,C6F5SO2NHSO2C6H3-3-NO2-4Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.16,pKa_values_of_acids_in_acetonitrile.pdf
949,1171188-96-7,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.16,Ejoc202001649-sup-00001-misc_information.pdf
1540,C6F5SO2NHSO2C6H3-4-Cl-3-NO2,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.18,leito_acids
934,64646-01-1,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,64646-01-1,4-chloro-N-((4-chloro-3-nitrophenyl)sulfonyl)-3-nitrobenzenesulfonamide,MeCN,CC#N,7.47,Ejoc202001649-sup-00001-misc_information.pdf
1124,64646-01-1,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,64646-01-1,4-chloro-N-((4-chloro-3-nitrophenyl)sulfonyl)-3-nitrobenzenesulfonamide,DCE,C(CCl)Cl,40.4,Ejoc202001649-sup-00001-misc_information.pdf
1616,(3-NO2-4-Cl-C6H3SO2)2NH,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,64646-01-1,4-chloro-N-((4-chloro-3-nitrophenyl)sulfonyl)-3-nitrobenzenesulfonamide,DCE,C(CCl)Cl,40.4,leito_acids
921,1171188-83-2,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,1171188-83-2,-,MeCN,CC#N,8.75,Ejoc202001649-sup-00001-misc_information.pdf
1514,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-4-Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,1171188-83-2,,MeCN,CC#N,8.8,leito_acids
948,46764-49-2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)C(C#N)C#N,46764-49-2,-,MeCN,CC#N,6.16,Ejoc202001649-sup-00001-misc_information.pdf
1539,3-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)C(C#N)C#N,46764-49-2,,MeCN,CC#N,6.22,leito_acids
435,C6F5SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-92-3,"2,3,4,5,6-pentafluoro-N-((3-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.73,DCE_2011_pKa_Table_MeCN.pdf
711,C6F5SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-92-3,"2,3,4,5,6-pentafluoro-N-((3-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.68,pKa_values_of_acids_in_acetonitrile.pdf
940,1171188-92-3,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-92-3,"2,3,4,5,6-pentafluoro-N-((3-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.68,Ejoc202001649-sup-00001-misc_information.pdf
1529,C6F5SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-92-3,"2,3,4,5,6-pentafluoro-N-((3-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.73,leito_acids
929,34350-21-5,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,34350-21-5,-,MeCN,CC#N,7.84,Ejoc202001649-sup-00001-misc_information.pdf
1521,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,34350-21-5,,MeCN,CC#N,7.88,leito_acids
442,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,MeCN,CC#N,6.06,DCE_2011_pKa_Table_MeCN.pdf
496,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,MeCN,CC#N,6.06,a_unified_view_to_bronsted_acidity_scales.pdf
722,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,MeCN,CC#N,6.01,pKa_values_of_acids_in_acetonitrile.pdf
951,1207878-53-2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,MeCN,CC#N,6.01,Ejoc202001649-sup-00001-misc_information.pdf
1125,1207878-53-2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,DCE,C(CCl)Cl,39.9,Ejoc202001649-sup-00001-misc_information.pdf
1542,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,MeCN,CC#N,6.06,leito_acids
1594,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,DCE,C(CCl)Cl,39.9,leito_acids
1562,4-Cl-C6H4SO(=NTf)NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,174788-97-7,,MeCN,CC#N,3.33,leito_acids
1607,4-Cl-C6H4SO(=NTf)NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,174788-97-7,,DCE,C(CCl)Cl,35.9,leito_acids
71,174788-91-1,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,MeCN,CC#N,4.39,MeCN_Acids_COSMO-RS_2008_Table.pdf
969,174788-91-1,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,MeCN,CC#N,4.04,Ejoc202001649-sup-00001-misc_information.pdf
1132,174788-91-1,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,DCE,C(CCl)Cl,37.1,Ejoc202001649-sup-00001-misc_information.pdf
437,C6F5SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-93-4,"2,3,4,5,6-pentafluoro-N-((4-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.6,DCE_2011_pKa_Table_MeCN.pdf
713,C6F5SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-93-4,"2,3,4,5,6-pentafluoro-N-((4-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.6,pKa_values_of_acids_in_acetonitrile.pdf
1533,C6F5SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-93-4,"2,3,4,5,6-pentafluoro-N-((4-nitrophenyl)sulfonyl)benzenesulfonamide",MeCN,CC#N,6.6,leito_acids
930,2226486-82-2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,2226486-82-2,-,MeCN,CC#N,7.82,Ejoc202001649-sup-00001-misc_information.pdf
1122,2226486-82-2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,2226486-82-2,-,DCE,C(CCl)Cl,40.7,Ejoc202001649-sup-00001-misc_information.pdf
1523,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,2226486-82-2,,MeCN,CC#N,7.84,leito_acids
1593,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,2226486-82-2,,DCE,C(CCl)Cl,40.7,leito_acids
420,4-NO2-C6H4C(=O)NHTf,[O-][N+](=O)C1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide,MeCN,CC#N,9.49,DCE_2011_pKa_Table_MeCN.pdf
1511,4-NO2-C6H4C(=O)NHTf,[O-][N+](=O)C1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide,MeCN,CC#N,9.49,leito_acids
86,500721-97-1,[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-97-1,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",MeCN,CC#N,5.13,MeCN_Acids_COSMO-RS_2008_Table.pdf
966,500721-97-1,[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-97-1,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",MeCN,CC#N,4.63,Ejoc202001649-sup-00001-misc_information.pdf
602,"(2,4,6-Cl3-C6F2)(C6F5)CHCN",C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2Cl)F)Cl)F)Cl,64934-69-6,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",MeCN,CC#N,20.13,pKa_values_of_acids_in_acetonitrile.pdf
558,(4-Me-C6F4)(C6F5)NH,CC1=C(C(=C(C(=C1F)F)NC2=C(C(=C(C(=C2F)F)F)F)F)F)F,80588-36-9,"2,3,5,6-tetrafluoro-4-methyl-N-(2,3,4,5,6-pentafluorophenyl)aniline",MeCN,CC#N,24.96,pKa_values_of_acids_in_acetonitrile.pdf
220,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
232,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.5,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
253,HBr,Br,10035-10-6,bromane,DCE,C(CCl)Cl,40.6,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
264,HBr,Br,10035-10-6,bromane,DMSO,CS(=O)C,-6.8,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
280,HBr,Br,10035-10-6,bromane,H2O,O,-8.8,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
449,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.5,DCE_2011_pKa_Table_MeCN.pdf
495,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.5,a_unified_view_to_bronsted_acidity_scales.pdf
728,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.4,pKa_values_of_acids_in_acetonitrile.pdf
957,10035-10-6,Br,10035-10-6,bromane,MeCN,CC#N,5.4,Ejoc202001649-sup-00001-misc_information.pdf
1018,10035-10-6,Br,10035-10-6,bromane,H2O,O,-8.8,Ejoc202001649-sup-00001-misc_information.pdf
1091,10035-10-6,Br,10035-10-6,bromane,DMSO,CS(=O)C,-6.8,Ejoc202001649-sup-00001-misc_information.pdf
1126,10035-10-6,Br,10035-10-6,bromane,DCE,C(CCl)Cl,40.6,Ejoc202001649-sup-00001-misc_information.pdf
1547,HBr,Br,10035-10-6,bromane,MeCN,CC#N,5.5,leito_acids
1596,HBr,Br,10035-10-6,bromane,DCE,C(CCl)Cl,40.6,leito_acids
93,Trinitromethane,C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],517-25-9,trinitromethane,MeCN,CC#N,7.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
1637,[C(CN)2=C(CN)]2NH,C(#N)C(=C(C#N)NC(=C(C#N)C#N)C#N)C#N,2284-24-4,"2-(1,2,2-tricyanoethenylamino)ethene-1,1,2-tricarbonitrile",DCE,C(CCl)Cl,33,leito_acids
456,(CN)2C=C(CN)OH,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.39,DCE_2011_pKa_Table_MeCN.pdf
739,(CN)2C=C(CN)OH,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.36,pKa_values_of_acids_in_acetonitrile.pdf
968,27062-39-1,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.36,Ejoc202001649-sup-00001-misc_information.pdf
1131,27062-39-1,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",DCE,C(CCl)Cl,36.3,Ejoc202001649-sup-00001-misc_information.pdf
1557,(CN2)2C=C(CN)OH,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",MeCN,CC#N,4.39,leito_acids
1602,(CN2)2C=C(CN)OH,C(#N)C(=C(C#N)O)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",DCE,C(CCl)Cl,36.3,leito_acids
1636,Br-TCNP,C(#N)C(C#N)C(=C(C#N)C#N)Br,100125-09-5,"2-bromoprop-1-ene-1,1,3,3-tetracarbonitrile",DCE,C(CCl)Cl,33.2,leito_acids
1652,CN-TCNP,C(#N)C(C#N)C(=C(C#N)C#N)C#N,45078-17-9,"prop-1-ene-1,1,2,3,3-pentacarbonitrile",DCE,C(CCl)Cl,29.7,leito_acids
1640,Cl-TCNP,C(#N)C(C#N)C(=C(C#N)C#N)Cl,1261286-80-9,"2-chloroprop-1-ene-1,1,3,3-tetracarbonitrile",DCE,C(CCl)Cl,32.9,leito_acids
1618,NH2-TCNP,C(#N)C(C#N)C(=C(C#N)C#N)N,98555-43-2,"2-aminoprop-1-ene-1,1,3,3-tetracarbonitrile",DCE,C(CCl)Cl,38.2,leito_acids
733,CH(CN)3,C(#N)C(C#N)C#N,454-50-2,methanetricarbonitrile,MeCN,CC#N,5,pKa_values_of_acids_in_acetonitrile.pdf
962,454-50-2,C(#N)C(C#N)C#N,454-50-2,methanetricarbonitrile,MeCN,CC#N,5,Ejoc202001649-sup-00001-misc_information.pdf
1019,454-50-2,C(#N)C(C#N)C#N,454-50-2,methanetricarbonitrile,H2O,O,-5.1,Ejoc202001649-sup-00001-misc_information.pdf
1128,454-50-2,C(#N)C(C#N)C#N,454-50-2,methanetricarbonitrile,DCE,C(CCl)Cl,38.6,Ejoc202001649-sup-00001-misc_information.pdf
1617,CH(CN)3,C(#N)C(C#N)C#N,454-50-2,methanetricarbonitrile,DCE,C(CCl)Cl,38.6,leito_acids
422,C6(CF3)5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,8.86,DCE_2011_pKa_Table_MeCN.pdf
491,C6(CF3)5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,8.86,a_unified_view_to_bronsted_acidity_scales.pdf
1513,C6(CF3)5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,8.86,leito_acids
1591,C6(CF3)5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",DCE,C(CCl)Cl,42.2,leito_acids
13,55852-24-9,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,MeCN_Acids_COSMO-RS_2008_Table.pdf
416,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,DCE_2011_pKa_Table_MeCN.pdf
488,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,a_unified_view_to_bronsted_acidity_scales.pdf
518,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",DMSO,CS(=O)C,1.7,a_unified_view_to_bronsted_acidity_scales.pdf
681,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,pKa_values_of_acids_in_acetonitrile.pdf
910,55852-24-9,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,Ejoc202001649-sup-00001-misc_information.pdf
1117,55852-24-9,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",DCE,C(CCl)Cl,44.2,Ejoc202001649-sup-00001-misc_information.pdf
1507,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",MeCN,CC#N,10.19,leito_acids
1588,4-CF3-C6F4CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",DCE,C(CCl)Cl,44.2,leito_acids
26,719-38-0,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",MeCN,CC#N,13.01,MeCN_Acids_COSMO-RS_2008_Table.pdf
651,C6F5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",MeCN,CC#N,13.01,pKa_values_of_acids_in_acetonitrile.pdf
881,719-38-0,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",MeCN,CC#N,13.01,Ejoc202001649-sup-00001-misc_information.pdf
1489,C6F5CH(CN)2,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",MeCN,CC#N,13.01,leito_acids
18,62325-35-3,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",MeCN,CC#N,12.23,MeCN_Acids_COSMO-RS_2008_Table.pdf
482,2-C10F7CH(CN)2,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",MeCN,CC#N,12.23,a_unified_view_to_bronsted_acidity_scales.pdf
886,62325-35-3,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",MeCN,CC#N,12.23,Ejoc202001649-sup-00001-misc_information.pdf
1113,62325-35-3,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",DCE,C(CCl)Cl,46.3,Ejoc202001649-sup-00001-misc_information.pdf
1564,2-C10F7CH(CN)2,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",MeCN,CC#N,12.23,leito_acids
1610,2-C10F7CH(CN)2,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",DCE,C(CCl)Cl,46.3,leito_acids
1635,TfCH(CN)2,C(#N)C(C#N)S(=O)(=O)C(F)(F)F,278796-64-8,2-(trifluoromethylsulfonyl)propanedinitrile,DCE,C(CCl)Cl,33.5,leito_acids
633,(4-CF3-C6F4)2CHCN,C(#N)C(C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F)C2=C(C(=C(C(=C2F)F)C(F)(F)F)F)F,58432-55-6,"2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",MeCN,CC#N,16.12,pKa_values_of_acids_in_acetonitrile.pdf
1475,(4-CF3-C6F4)2CHCN,C(#N)C(C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F)C2=C(C(=C(C(=C2F)F)C(F)(F)F)F)F,58432-55-6,"2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",MeCN,CC#N,16.13,leito_acids
23,64934-69-6,C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2Cl)F)Cl)F)Cl,64934-69-6,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",MeCN,CC#N,20.13,MeCN_Acids_COSMO-RS_2008_Table.pdf
