,name,smiles,cas,iupac,new smiles
40,C10F15COH,OC12C(F)(F)C3(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C(F)(C2(F)F)C3(F)F,160823-57-4,"2,2,3,4,4,5,6,6,7,8,8,9,9,10,10-pentadecafluoroadamantan-1-ol",C12(C(C3(C(C(C1(F)F)(C(C(C2(F)F)(C3(F)F)F)(F)F)F)(F)F)F)(F)F)O
41,(4-CF3-C6F4)(C6F5)CHCN,FC1=C(F)C(=C(C(C#N)C2=CC=C(C=C2)C(F)(F)F)C(=C1F)F)F,42238-35-7,-,no matches
42,"4-C6F5-2,3,5,6-F4-phenol",OC1=C(F)C(=C(C(=C1F)F)C2=C(F)C(=C(F)C(=C2F)F)F)F,2894-87-3,"2,3,5,6-tetrafluoro-4-(2,3,4,5,6-pentafluorophenyl)phenol",C1(=C(C(=C(C(=C1F)F)O)F)F)C2=C(C(=C(C(=C2F)F)F)F)F
43,(4-H-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",CCOC(=O)C(C#N)C1=C(C(=CC(=C1F)F)F)F
44,"2,3,4,5,6-Cl5-phenol",OC1=C(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl,87-86-5,"2,3,4,5,6-pentachlorophenol",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
45,"2,3,4,5,6-Br5-phenol",OC1=C(Br)C(=C(Br)C(=C1Br)Br)Br,608-71-9,"2,3,4,5,6-pentabromophenol",C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
46,(C6F5)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C(=C(F)C(=C1F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F
47,4-Me-C6H4CH(CN)2,CC1=CC=C(C=C1)C(C#N)C#N,33534-88-2,2-(4-methylphenyl)propanedinitrile,CC1=CC=C(C=C1)C(C#N)C#N
48,(2-C10F7)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",CCOC(=O)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F
49,(4-Cl-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C(=C(Cl)C(=C1F)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)Cl)F)F
50,"2,4-(NO2)2-phenol",OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,51-28-5,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
51,"4-CF3-2,3,5,6-F4-phenol",OC1=C(F)C(=C(C(=C1F)F)C(F)(F)F)F,2787-79-3,"2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenol",C1(=C(C(=C(C(=C1F)F)O)F)F)C(F)(F)F
52,(4-NC5F4)(C6F5)CHCN,FC1=NC(=C(F)C(=C1F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)F,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=NC(=C2F)F)F)F
53,(4-CF3-C6F4)2CHCN,FC1=C(F)C(=C(F)C(=C1C(C#N)C2=C(F)C(=C(C(=C2F)F)C(F)(F)F)F)F)C(F)(F)F,58432-55-6,"2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",C(#N)C(C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F)C2=C(C(=C(C(=C2F)F)C(F)(F)F)F)F
54,(4-CF3-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C(=C(C(=C1F)F)C(F)(F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F
55,(4-NC5F4)(2-C10F7)CHCN,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F,62325-37-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C(=NC(=C3F)F)F)F
56,4-NC5F4-OH,OC1=C(F)C(=NC(=C1F)F)F,2693-66-5,"2,3,5,6-tetrafluoro-1H-pyridin-4-one",C1(=C(NC(=C(C1=O)F)F)F)F
57,(4-NC5F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",CCOC(=O)C(C#N)C1=C(C(=NC(=C1F)F)F)F
58,3-CF3-C6H4CH(CN)2,FC(F)(F)C1=CC(=CC=C1)C(C#N)C#N,99726-60-0,2-[3-(trifluoromethyl)phenyl]propanedinitrile,C1=CC(=CC(=C1)C(F)(F)F)C(C#N)C#N
59,Saccharin,O=C1N[S](=O)(=O)C2=C1C=CC=C2,81-07-2,"1,1-dioxo-1,2-benzothiazol-3-one",C1=CC=C2C(=C1)C(=O)NS2(=O)=O
60,Substance1,O[P]1(=O)OC2=C(C3=C(CCCC3)C=C2C4C=C5C=CC=CC5=C6C=CC=CC46)C7=C(O1)C(=CC8=C7CCCC8)C9=C%10C=CC=CC%10=C%11C=CC=CC%11=C9,934201-93-1,-,no matches
61,Substance2,O[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)[C]78=C9C%10=C%11[C-]7[Fe++]89%10%11%12%13%14%15[C-]%16C%12=C%13C%14=[C]%15%16C%17=CC3=C(O1)C(=C%17)C%18=CC(=CC(=C%18)C%19=CC=CC=C%19)C%20=CC=CC=C%20,1609325-04-3,-,no matches
62,4-Me-C6F4CH(CN)2,CC1=C(F)C(=C(C(C#N)C#N)C(=C1F)F)F,64934-71-0,"2-(2,3,5,6-tetrafluoro-4-methylphenyl)propanedinitrile",CC1=C(C(=C(C(=C1F)F)C(C#N)C#N)F)F
63,Substance3,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC3=CC=CC=C3C4=C2O[P](O)(=O)OC5=C4C6=CC=CC=C6C=C5C7=C(C=C(C=C7C(C)C)C(C)C)C(C)C)C(C)C,791616-63-2,"13-hydroxy-10,16-bis[2,4,6-tri(propan-2-yl)phenyl]-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3,5,7,9,16,18,20,22-decaene 13-oxide",CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC3=CC=CC=C3C4=C2OP(=O)(OC5=C4C6=CC=CC=C6C=C5C7=C(C=C(C=C7C(C)C)C(C)C)C(C)C)O)C(C)C
64,(4-NC5F4)2CHCN,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C#N,64934-72-1,-,no matches
65,Substance4,O[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)C7=CC=CC8=C9C=CC=C(C%10=CC3=C(O1)C(=C%10)C%11=CC(=CC(=C%11)C%12=CC=CC=C%12)C%13=CC=CC=C%13)C9=C78,1630950-45-6,-,no matches
66,Substance5,O[P]1(=O)OC2=C(C3=CC=CC=C3C=C2C4=CC5=CC=CC=C5C6=CC=CC=C46)C7=C(O1)C(=CC8=CC=CC=C78)C9=CC%10=CC=CC=C%10C%11=CC=CC=C9%11,864943-22-6,-,no matches
67,C6F5CH(CN)2,FC1=C(F)C(=C(C(C#N)C#N)C(=C1F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F
68,4-H-C6F4CH(CN)2,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C#N,55810-63-4,"2-(2,3,5,6-tetrafluorophenyl)propanedinitrile",C1=C(C(=C(C(=C1F)F)C(C#N)C#N)F)F
69,Substance6,O[P]1(=O)OC2=C(C3=CC=CC=C3C=C2C4=CC=CC=C4)C5=C(O1)C(=CC6=CC=CC=C56)C7=CC=CC=C7,695162-86-8,"13-hydroxy-10,16-diphenyl-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3,5,7,9,16,18,20,22-decaene 13-oxide",C1=CC=C(C=C1)C2=CC3=CC=CC=C3C4=C2OP(=O)(OC5=C4C6=CC=CC=C6C=C5C7=CC=CC=C7)O
70,Substance7,O[P]1(=O)OC2=C(C=C3C=CC=CC3=C2C4=C(O1)C(=CC5=CC=CC=C45)C6=CC=C(F)C=C6)C7CC=C(F)C=C7,915038-14-1,-,no matches
71,Tos2NH,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(C)C=C2,3695-00-9,4-methyl-N-(4-methylphenyl)sulfonylbenzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)C
72,4-NO2-C6H4CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)C(C#N)C#N,7077-65-8,2-(4-nitrophenyl)propanedinitrile,C1=CC(=CC=C1C(C#N)C#N)[N+](=O)[O-]
73,4-MeO-C6H4C(=O)NHTf,COC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,39063-05-3,4-methoxy-N-(trifluoromethylsulfonyl)benzamide,COC1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F
74,4-Me-C6H4C(=O)NHTf,CC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,343337-70-2,4-methyl-N-(trifluoromethylsulfonyl)benzamide,CC1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F
75,(C6H5SO2)2NH,O=[S](=O)(N[S](=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,2618-96-4,N-(benzenesulfonyl)benzenesulfonamide,C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC=C2
76,4-Cl-C6H4SO2NHTos,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,69173-28-0,N-(4-chlorophenyl)sulfonyl-4-methylbenzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl
77,C6H5C(=O)NHTf,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=CC=C1,39062-91-4,N-(trifluoromethylsulfonyl)benzamide,C1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F
78,Picric acid,OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,88-89-1,"2,4,6-trinitrophenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
79,4-F-C6H4C(=O)NHTf,FC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,39063-00-8,4-fluoro-N-(trifluoromethylsulfonyl)benzamide,C1=CC(=CC=C1C(=O)NS(=O)(=O)C(F)(F)F)F
80,"2,3,4,5,6-(CF3)5-phenol",OC1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,723294-91-5,"2,3,4,5,6-pentakis(trifluoromethyl)phenol",C1(=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)O)C(F)(F)F)C(F)(F)F)C(F)(F)F
81,"2,3,4,6-(CF3)4-C6HCH(CN)2",FC(F)(F)C1=C(C(C#N)C#N)C(=C(C(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-49-8,-,no matches
82,4-Cl-C6H4C(=O)NHTf,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=C(Cl)C=C1,39062-99-2,4-chloro-N-(trifluoromethylsulfonyl)benzamide,C1=CC(=CC=C1C(=O)NS(=O)(=O)C(F)(F)F)Cl
83,HCl,Cl,7647-01-0,chloride,[Cl-]
84,(4-Cl-C6H4SO2)2NH,ClC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,2725-55-5,4-chloro-N-(4-chlorophenyl)sulfonylbenzenesulfonamide,C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl
85,4-CF3-C6F4CH(CN)2,FC1=C(C(C#N)C#N)C(=C(F)C(=C1F)C(F)(F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F
86,"2,3,4,5,6-(CF3)5-thiophenol",FC(F)(F)C1=C(C(=C(C(=C1S)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,741243-29-8,"2,3,4,5,6-pentakis(trifluoromethyl)benzenethiol",C1(=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)S)C(F)(F)F)C(F)(F)F)C(F)(F)F
87,4-NO2-C6H4SO2NHTos,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O,100724-78-5,4-methyl-N-(4-nitrophenyl)sulfonylbenzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-]
88,4-Cl-3-NO2-C6H3SO2NHTos,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,215395-06-5,4-chloro-N-(4-methylphenyl)sulfonyl-3-nitrobenzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-]
89,4-NO2-C6H4C(=O)NHTf,[O-][N+](=O)C1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide,C1=CC(=CC=C1C(=O)NS(=O)(=O)C(F)(F)F)[N+](=O)[O-]
90,4-NO2-C6H4SO2NHSO2C6H4-4-Cl,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,95468-16-9,N-(4-chlorophenyl)sulfonyl-4-nitrobenzenesulfonamide,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl
91,C6(CF3)5CH(CN)2,FC(F)(F)C1=C(C(=C(C(=C1C(C#N)C#N)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
92,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-4-Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,1171188-83-2,-,no matches
93,TosOH,CC1=CC=C(C=C1)[S](O)(=O)=O,104-15-4,4-methylbenzenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O
94,(4-NO2-C6H4SO2)2NH,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O,7/6/09,4-nitro-N-(4-nitrophenyl)sulfonylbenzenesulfonamide,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-]
95,"2,4,6-(SO2OCH2CF2CF2H)3-phenol",OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF)[S](=O)(=O)OCC(F)(F)CF,1263293-54-4,-,no matches
96,(3-NO2-C6H4SO2)2NH,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=CC=C2)[N+]([O-])=O,116082-80-5,3-nitro-N-(3-nitrophenyl)sulfonylbenzenesulfonamide,C1=CC(=CC(=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC(=C2)[N+](=O)[O-])[N+](=O)[O-]
97,"2,4,6-(SO2OCH2CF3)3-Phenol",OC1=C(C=C(C=C1[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F)[S](=O)(=O)OCC(F)(F)F,1263293-53-3,-,no matches
98,1-C10H7SO3H,O[S](=O)(=O)C1=C2C=CC=CC2=CC=C1,85-47-2,naphthalene-1-sulfonic acid,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)O
99,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,34350-21-5,-,no matches
100,C6H5CHTf2,FC(F)(F)[S](=O)(=O)C(C1=CC=CC=C1)[S](=O)(=O)C(F)(F)F,40906-82-9,bis(trifluoromethylsulfonyl)methylbenzene,C1=CC=C(C=C1)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
101,4-Cl-3-NO2-C6H3SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,2226486-82-2,-,no matches
102,C6F5SO2NHSO2C6H4-4-Cl,FC1=C(F)C(=C(C(=C1F)F)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2)F,1171188-85-4,-,no matches
103,4-Cl-C6H4SO3H,O[S](=O)(=O)C1=CC=C(Cl)C=C1,98-66-8,4-chlorobenzenesulfonic acid,C1=CC(=CC=C1S(=O)(=O)O)Cl
104,Substance8,FC(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)[C]78=C9C%10=C%11[C-]7[Fe++]89%10%11%12%13%14%15[C-]%16C%12=C%13C%14=[C]%15%16C%17=CC3=C(O1)C(=C%17)C%18=CC(=CC(=C%18)C%19=CC=CC=C%19)C%20=CC=CC=C%20,1630924-73-0,-,no matches
105,Substance9,COC1=CC=C(C=C1)C2=CC3CCCCC3C4=C2O[P](=O)(N[S](=O)(=O)C(F)(F)F)OC5=C(C=C6CCCCC6=C45)C7=CC=C(OC)C=C7,1071853-99-0,"N-[10,16-bis(4-methoxyphenyl)-13-oxo-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2,8,10,16-pentaen-13-yl]-1,1,1-trifluoromethanesulfonamide",COC1=CC=C(C=C1)C2=CC3CCCCC3C4=C2OP(=O)(OC5=C(C=C6CCCCC6=C45)C7=CC=C(C=C7)OC)NS(=O)(=O)C(F)(F)F
106,Substance10,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C(C3=C(CCCC3)C=C2C4CC=CC=C4)C5=C(O1)C(=CC6=C5CCCC6)C7=CC=CC=C7,1261302-68-4,-,no matches
107,C6F5SO2NHSO2C6H4-3-NO2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-92-3,-,no matches
108,Substance11,FC(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C(C3=C(CCCC3)C=C2C4CC=CC=C4)C5=C(O1)C(=CC6=C5CCCC6)C7=CC=CC=C7,1261302-62-8,-,no matches
109,Substance12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C(C3=C(CCCC3)C=C2C4CC=CC=C4)C5=C(O1)C(=CC6=C5CCCC6)C7=CC=CC=C7,1261302-67-3,-,no matches
110,3-NO2-C6H4SO3H,O[S](=O)(=O)C1=CC(=CC=C1)[N+]([O-])=O,98-47-5,3-nitrobenzenesulfonic acid,C1=CC(=CC(=C1)S(=O)(=O)O)[N+](=O)[O-]
111,C6F5SO2NHSO2C6H4-4-NO2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-93-4,-,no matches
112,Substance13,FC(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C3C=C(C=C2C4=CC(=CC(=C4)C5=CC=CC=C5)C6CC=CC=C6)C7=CC=CC8=C9C=CC=C(C%10=CC3=C(O1)C(=C%10)C%11=CC(=CC(=C%11)C%12=CC=CC=C%12)C%13=CC=CC=C%13)C9=C78,1630950-49-0,-,no matches
113,Substance14,FC(F)(F)[S](=O)(=O)N[P]1(=O)OC2=C(C=C3C=CC=CC3=C2C4=C(O1)C(=CC5=CC=CC=C45)C6=CC=CC=C6)C7CC=CC=C7,1010799-98-0,-,no matches
114,Substance15,COC1=CC=C(C=C1)C2=CC3=C(C=CC=C3)C4=C2O[P](=O)(N[S](=O)(=O)C(F)(F)F)OC5=C4C6=CC=CC=C6C=C5C7=CC=C(OC)C=C7,1486486-92-3,-,no matches
115,4-NO2-C6H4SO3H,O[S](=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,138-42-1,4-nitrobenzenesulfonic acid,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)O
116,Substance16,FC1=CC=C(C=C1)C2=CC3CCCCC3C4=C2O[P](=O)(N[S](=O)(=O)C(F)(F)F)OC5=C(C=C6CCCCC6=C45)C7=CC=C(F)C=C7,1431711-91-9,-,no matches
117,3-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)C(C#N)C#N,46764-49-2,-,no matches
118,C6F5SO2NHSO2C6H3-4-Cl-3-NO2,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,-,no matches
119,4-MeO-C6H4C(=NTf)NHTf,COC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-87-9,-,no matches
120,4-NO2-C6H4SO2CH(CN)2,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,1207878-53-2,-,no matches
121,4-Me-C6H4C(=NTf)NHTf,CC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-89-1,-,no matches
122,TosNHTf,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,215395-07-6,4-methyl-N-(trifluoromethylsulfonyl)benzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C(F)(F)F
123,C6H5C(=NTf)NHTf,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=CC=C1,500721-91-5,-,no matches
124,C6H5SO2NHTf,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=CC=C1,174788-87-5,N-(trifluoromethylsulfonyl)benzenesulfonamide,C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C(F)(F)F
125,HBr,Br,10035-10-6,bromide,[Br-]
126,4-F-C6H4C(=NTf)NHTf,FC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-93-7,-,no matches
127,"2,4,6-SO2F-phenol",OC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F
128,4-Cl-C6H4C(=NTf)NHTf,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=C(Cl)C=C1,500721-95-9,-,no matches
129,Substance17,FC(F)(F)C1=CC(=CC(=C1)C2=C3O[S](=O)(=O)N[S](=O)(=O)OC4=C(C=C5C=CC=CC5=C4C3=C6C=CC=CC6=C2)C7=CC(=CC(=C7)C(F)(F)F)C(F)(F)F)C(F)(F)F,1486486-93-4,"10,18-bis[3,5-bis(trifluoromethyl)phenyl]-12,16-dioxa-13λ6,15λ6-dithia-14-azapentacyclo[15.8.0.02,11.03,8.020,25]pentacosa-1(17),2(11),3,5,7,9,18,20,22,24-decaene 13,13,15,15-tetraoxide",C1=CC=C2C(=C1)C=C(C3=C2C4=C(C(=CC5=CC=CC=C54)C6=CC(=CC(=C6)C(F)(F)F)C(F)(F)F)OS(=O)(=O)NS(=O)(=O)O3)C7=CC(=CC(=C7)C(F)(F)F)C(F)(F)F
130,(C6F5SO2)2NH,FC1=C(F)C(=C(C(=C1F)F)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F)F,1535-93-9,"2,3,4,5,6-pentafluoro-N-(2,3,4,5,6-pentafluorophenyl)sulfonylbenzenesulfonamide",C1(=C(C(=C(C(=C1F)F)S(=O)(=O)NS(=O)(=O)C2=C(C(=C(C(=C2F)F)F)F)F)F)F)F
131,4-Cl-C6H4SO2NHTf,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=C(Cl)C=C1,174788-89-7,4-chloro-N-(trifluoromethylsulfonyl)benzenesulfonamide,C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C(F)(F)F)Cl
132,4-Cl-C6H4SO(=NTf)NHTos,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,174788-93-3,-,no matches
133,4-NO2-C6H4C(=NTf)NHTf,[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-97-1 ,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",C1=CC(=CC=C1C(=NS(=O)(=O)C(F)(F)F)NS(=O)(=O)C(F)(F)F)[N+](=O)[O-]
134,"2,4,6-SO2CF3-phenol",OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
135,(CN2)2C=C(CN)OH,OC(C#N)=C(C#N)C#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",C(#N)C(=C(C#N)O)C#N
