,name,smiles,cas,iupac,new smiles
189,Bromothymol blue,CC(C)C1=C(O)C(=C(C)C(=C1)C2(O[S](=O)(=O)C3=C2C=CC=C3)C4=C(C)C(=C(O)C(=C4)C(C)C)Br)Br,76-59-5,"2-bromo-4-[3-(3-bromo-4-hydroxy-2-methyl-5-propan-2-ylphenyl)-1,1-dioxo-2,1λ6-benzoxathiol-3-yl]-3-methyl-6-propan-2-ylphenol",CC1=C(C=C(C(=C1Br)O)C(C)C)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=C(C(=C(C(=C4)C(C)C)O)Br)C
190,Bromocresol green,CC1=C(Br)C(=C(Br)C=C1C2(O[S](=O)(=O)C3=C2C=CC=C3)C4=C(C)C(=C(O)C(=C4)Br)Br)O,76-60-8,"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1λ6-benzoxathiol-3-yl]-3-methylphenol",CC1=C(C(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C(=C4C)Br)O)Br)Br)O)Br
191,Styphnic acid,OC1=C(C(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)O)[N+]([O-])=O,82-71-3,"2,4,6-trinitrobenzene-1,3-diol",C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-]
192,HNO3,O[N+]([O-])=O,7697-37-2,nitric acid,[N+](=O)(O)[O-]
193,H2SO4,O[S](O)(=O)=O,7664-93-9,sulfuric acid,OS(=O)(=O)O
194,(3-NO2-4-Cl-C6H3SO2)2NH,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,64646-01-1,-,no matches
195,CH(CN)3,N#CC(C#N)C#N,454-50-2,methanetricarbonitrile,C(#N)C(C#N)C#N
196,NH2-TCNP,NC(C(C#N)C#N)=C(C#N)C#N,98555-43-2,"2-aminoprop-1-ene-1,1,3,3-tetracarbonitrile",C(#N)C(C#N)C(=C(C#N)C#N)N
197,Pentacyanophenol,OC1=C(C#N)C(=C(C#N)C(=C1C#N)C#N)C#N,42448-55-5,"6-hydroxybenzene-1,2,3,4,5-pentacarbonitrile",C(#N)C1=C(C(=C(C(=C1C#N)C#N)O)C#N)C#N
198,Me-TCNP,CC(C(C#N)C#N)=C(C#N)C#N,24943-63-3,"2-methylprop-1-ene-1,1,3,3-tetracarbonitrile",CC(=C(C#N)C#N)C(C#N)C#N
199,"3,4-(MeO)2-C6H3-TCNP",COC1=C(OC)C=C(C=C1)C(C(C#N)C#N)=C(C#N)C#N,1261286-75-2,-,no matches
200,4-MeO-C6H4-TCNP,COC1=CC=C(C=C1)C(C(C#N)C#N)=C(C#N)C#N,1261286-76-3,-,no matches
201,C6F5CH(Tf)2,FC1=C(F)C(=C(C([S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)C(=C1F)F)F,405074-81-9,"1-[bis(trifluoromethylsulfonyl)methyl]-2,3,4,5,6-pentafluorobenzene",C1(=C(C(=C(C(=C1F)F)F)F)F)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
202,HB(CN)(CF3)3,[H+].FC(F)(F)[B-](C#N)(C(F)(F)F)C(F)(F)F,863678-02-8,-,no matches
203,Ph-TCNP,N#CC(C#N)C(C1=CC=CC=C1)=C(C#N)C#N,96463-47-7,"2-phenylprop-1-ene-1,1,3,3-tetracarbonitrile",C1=CC=C(C=C1)C(=C(C#N)C#N)C(C#N)C#N
204,HBF4,[H+].F[B-](F)(F)F,16872-11-0,hydron;tetrafluoroborate,[H+].[B-](F)(F)(F)F
