Name Type,CAS,Formula,MeCN,Water,DMSO,DCE,DMF
Octafluorofluorene CH,27053-34-5,C13H2F8,24.49,,10.8[4],,
4-CF3-C6H4-CH2-Tf CH,194222-97-4,C9H6F6O2S,24.44,,11.95[26],,
"3,5-(CF3)2-Ph-C-thiourea NH",454203-57-7,C15H16F6N2S,24.31,,,,
(4-H-C6F4)(C6F5)NH NH,3752-73-6,C12H2F9N,24.11,,"f 11.8[24],",,
C6F5-NH-C(CF3)3 NH,1580000-57-2,C10HF14N,24.03,,,,
(C6F5)2NH NH,1535-92-8,C12HF10N,23.98,,"f 11.6[24,25],",,
"3,5-F2-C6H3-CH2-Tf CH",,C8H5F5O2S,23.96,,,,
Fluoradene CH,205-94-7,C19H12,23.92,,10.5[27],,
"2,4,6-(NO2)3-Aniline NH",489-98-5,C6H4N4O6,23.87,12.20[28],,,
"3,5-(CF3)2-Phenol OH",349-58-6,C8H4F6O,23.8,8.03[20],13.2[10],,
2-NO2-Indole NH,193686-70-3,C8H6N2O2,23.64,,,,
9-COOMe-Fluorene CH,3002-30-0,C15H12O2,23.54,11.5[29],10.35[30],58.1,
Acetic acid OH,64-19-7,C2H4O2,23.5,4.76[7],12.3[4],,13.5
(4-Cl-C F )(C F )NH 314.9[19]6 4 6 5 NH,80588-40-5,C12HClF9N,23.22,,"10.9[24,25],f",,
4-CN-C6H4-CH2-Tf CH,73622-52-3,C9H6F3NO2S,23.19,,10.7[30],,
Sorbic acid OH,110-44-1,C6H8O2,22.97,4.5[32],,,
C6F5-CH(COOEt)2  CH,1582-05-4,C13H11F5O4,22.88,,,,
2-NO2-Phenol OH,88-75-5,C6H5NO3,22.85,7.22[7],11[33],,12.2
"3,5-(CF3)2-C6H3-CH2-Tf",434957-15-0,C10H5F9O2S,22.84,,,,
(4-Me-C6F4)2CHCN,58432-44-3,C16H7F8N,22.8,,,57.8,
Retinoic acid,302-79-4,C20H28O2,22.78,,,,
3-NO2-Indole,4770-03-0,C8H6N2O2,22.77,10.12[36],,,
C6F5-SO2-NH2,778-36-9,C6H2F5NO2S,22.27,8.30[20],,,
(4-Me-C6F4)(C6F5)CHCN,52345-34-3,C15H4F9N,21.94,,,56.7,
4-NO2-C6H4-CH2-Tf,213542-80-4,C8H6F3NO4S,21.92,,9.46[37],,
Benzoic acid,65-85-0,C7H6O2,21.5,4.20[7],11.0[4],,12.3
(4-CF3-C6H4)(C6F5)NH,36375-81-2,C13H8F5N,21.37,,,,
9-CN-Fluorene,1529-40-4,C14H9N,21.35,10.7[39],8.3[30],55.9,
Alizarin,72-48-0,C14H8O4,21.23,,,,
(4-H-C6F4)(C6F5)CHCN,42254-09-1,C14H2F9N,21.1,,,55.7,
(C6F5)2CHCN,42238-34-6,C14HF10N,21.09,9.5[40],7.95[41],,
4-CF3-C6F4-CH2-Tf,,C9H2F10O2S,21.02,,,,
(CF3)3COH,1/2/78,C4HF9O,20.5,5.33[20],10.7[4],,
(4-NC5F4)(C6F5)NH,80588-46-1,C11HF9N2,20.39,,8.3[19],,
(4-Cl-C6F4)(C6F5)CHCN,42238-36-8,C14HClF9N,20.36,,7.5[15],54.7,
"2,4,6-Br3-Phenol",118-79-6,C6H3Br3O,20.34,6.1[23],8.7[42],,
"2,3,4,5,6-(CN)5-Toluene",1213-77-0,C12H3N5,20.14,,8.2[15],,
"(2,4,6-Cl3-C6F2)(C6F5)CHCN",64934-69-6,C14HCl3F7N,20.13,,,,
"2,3,5,6-F4-Phenol",769-39-1,C6H2F4O,20.1,5.67[20],,,
"2,3,4,5,6-F5-Phenol",771-61-9,C6HF5O,20.1,5.55[20],8.9[44],,
(2-C10F7)(C6F5)CHCN,64934-68-5,C18HF12N,20.07,,,54.4,
(4-CN-C6F4)(C6F5)NH,38727-34-3,C13HF9N2,19.87,,8.0[19],,
1-C10F7-OH,5386-30-1,C10HF7O,19.7,,8.9[44],,
"2,4,6-(SO2F)3-Aniline",133213-11-3,C6H4F3NO6S3,19.66,,7.8[19],,
(2-C10F7)2CHCN,62325-38-6,C22HF14N,19.32,,,53.4,
Br4-CA-benzoic acid,1269510-74-8,C14H13Br4NO3,19.2,,,,
