SMILES,JCHEM_PKA
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,18.00207892
FC(F)OC(F)(F)C(F)Cl,15.42196796
[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,15.95009648
CC(C)C[C@H](CN)CC(O)=O,19.07135013
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,14.66327648
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,18.28699838
NC1=CC(O)=C(C=C1)C(O)=O,14.52496293
[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,15.8482876
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,18.77750771
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,19.92277853
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,13.25438158
CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,15.94889203
ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,2.865535302
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,13.53502159
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,15.04938939
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,11.02955073
COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,13.95958382
NC1=CC(C(O)=O)=C(O)C=C1,19.27817248
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,12.65275639
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,7.904873659
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,15.63114432
[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,14.93113068
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,11.80085284
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,18.53415716
CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,9.403154881
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,14.2398514
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,12.98355439
[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,13.51077693
CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,15.57736129
[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,15.56138339
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,19.45697888
[Ca++].CC([O-])=O.CC([O-])=O,13.99207444
NC1=CC=C(C=C1)S(N)(=O)=O,1.420384444
N[C@@H]1CONC1=O,3.608066117
