mol,pka
"2,4,6−(SO2F)3−Aniline",19.66
(4−CN−C6F4)(C6F5)NH,19.87
1−C10F7−OH,19.7
"2,4,6−(SO2F)3−Aniline",19.66
(2−C10F7)2CHCN,19.32
Br4−CA−benzoic acid,19.2
9−C6F5−Octafluorofluorene,18.87
2−C10F7−OH,18.5
"[4−(Ph3B)−2,6−Mes2−Pyridine]H",18.45
(4−NC5F4)(4−CF3−C6F4)NH,18.25
(4−CF3−C6F4)(C6F5)CHCN,18.13
"4−C6F5−2,3,5,6−F4−Phenol",18.1
Br4−CF3−CAC−benzoic acid,18.1
4−H−C6F4−CH(CN)COOEt,18.07
"2,3,4,5,6−Cl5−Phenol",18.0
"2,3,4,5,6−Br5−Phenol",17.81
C6F5−CH(CN)COOEt,17.73
4−Me−C6H4−CH(CN)2,17.57
2−C10F7−CH(CN)COOEt,17.48
4−Cl−C6F4−CH(CN)COOEt,17.38
(4−NC5F4)2NH,17.2
Br4−CX−benzoic acid,17.19
"2−Me−4,6−(NO2)2−Phenol",16.97
"2,6−(NO2)2−Phenol",16.74
"2,4−(NO2)2−Phenol",16.65
"4−CF3−2,3,5,6−F4−Phenol",16.6
(4−NC5F4)(C6F5)CHCN,16.39
9−C6F5−Octafluorofluorene,18.87
2−C10F7−OH,18.5
"[4−(Ph3B)−2,6−Mes2−Pyridine]H",18.45
(4−NC5F4)(4−CF3−C6F4)NH,18.25
(4−CF3−C6F4)(C6F5)CHCN,18.13
"4−C6F5−2,3,5,6−F4−Phenol",18.1
Br4−CF3−CAC−benzoic acid,18.1
4−H−C6F4−CH(CN)COOEt,18.07
"2,3,4,5,6−Cl5−Phenol",18.0
"2,3,4,5,6−Br5−Phenol",17.81
C6F5−CH(CN)COOEt,17.73
4−Me−C6H4−CH(CN)2,17.57
2−C10F7−CH(CN)COOEt,17.48
4−Cl−C6F4−CH(CN)COOEt,17.38
(4−NC5F4)2NH,17.2
Br4−CX−benzoic acid,17.19
"2−Me−4,6−(NO2)2−Phenol",16.97
"2,6−(NO2)2−Phenol",16.74
"2,4−(NO2)2−Phenol",16.65
"4−CF3−2,3,5,6−F4−Phenol",16.6
(4−NC5F4)(C6F5)CHCN,16.39
"4−F−2,6−(NO2)2−Phenol",16.17
(4−CF3−C6F4)2CHCN,16.12
4−CF3−C6F4−CH(CN)COOEt,16.07
"4−F−2,6−(NO2)2−Phenol",16.17
(4−CF3−C6F4)2CHCN,16.12
4−CF3−C6F4−CH(CN)COOEt,16.07
(4−NC5F4)(2−C10F7)CHCN,16.01
4−NO2−C6H4−SO2−NH−CO−C6H4−4−Me,15.68
4−NC5F4−OH,15.39
4−NC5F4−CH(CN)COOEt,14.89
3−CF3−C6H4−CH(CN)2,14.7
Saccharin,14.57
3−NO2−C6H4−SO2−NH−CO−C6H4−3−Cl,14.55
4−NO2−C6H4−SO2−NH−CO−C6H4−3−Cl,14.43
"2−Cl−4,6−(NO2)2−Phenol",14.23
[9−Phenanthrene]−BPA−[H8],13.97
4−Me−C6F4−CH(CN)2,13.87
"[2,4,6−i−Pr3−C6H2]−BPA",13.63
"RR−3,5−(CF3)2−Ph−CXCC−Br4−benzoic acid",13.55
(4−NC5F4)2CHCN,13.47
"2,3,4,5,6−(CF3)5−C6−CH(CN)COOEt",13.41
[9−Phenanthrene]−BPA,13.32
C6F5−CH(CN)2,13.01
4−H−C6F4−CH(CN)2,12.98
[Ph]−BPA,12.73
3−CF3−4−NO2−Ph−CACC−Br4−benzoic acid,12.69
[4−F−C6H4]−BPA,12.46
"3,5−(CF3)2−Ph−CACC−Br4−benzoic acid",12.4
2−C10F7−CH(CN)2,12.23
Tos2NH,11.97
Ph−SO2−NH−SO2−Me,11.89
"RS−3,5−(CF3)2−Ph−CXCC−Br4−benzoic acid",11.8
4−NO2−C6H4−CH(CN)2,11.61
4−MeO−C6H4−CO−NH−Tf,11.6
C6F5−NH−Tf,11.48
4−Me−C6H4−CO−NH−Tf,11.46
(C6H5−SO2)2NH,11.35
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−Cl,11.29
C6F5−NH−SO2−C4F9,11.25
C6F5−NH−SO2−C8F17,11.19
