,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
74,OCNc1nc(NCO)nc(NCO)n1,0,0,0,4.00,['4.00'],0
75,[NH3+]Cc1c(F)c(F)c(F)c(F)c1F,0,0,0,7.67,['7.67'],0
76,NS(=O)(=O)C1=NN2C(=NC(=O)NS2(=O)=O)S1,0,0,0,7.20,['7.20'],0
77,ON=C1OC(C(Cl)(Cl)Cl)OC1C(Cl)(Cl)Cl,0,0,0,11.19,['11.19'],0
78,O=C([O-])C1OC(O)C(O)C(O)C1O,0,0,0,3.18,['3.18'],0
79,O=C1C=C([O-])C(Br)O1,0,0,0,2.23,['2.23'],0
80,O=C1C=C([O-])C(Cl)O1,0,0,0,2.13,['2.13'],0
81,O=C1C=C([O-])C(I)O1,0,0,0,2.31,['2.31'],0
82,O=C1C=C([O-])C([N+](=O)[O-])O1,0,0,0,1.68,['1.68'],0
83,O=C1C=CC(=NO)C(Cl)=C1,0,0,0,5.68,['5.68'],0
84,O=C([O-])CN1C(=O)C=CC1=O,0,0,0,2.88,['2.88'],0
85,O=C([O-])CCN1C(=O)C=CC1=O,0,0,0,4.18,['4.18'],0
86,O=C([O-])CCCN1C(=O)C=CC1=O,0,0,0,4.56,['4.56'],0
87,O=C([O-])CCCCN1C(=O)C=CC1=O,0,0,0,4.62,['4.62'],0
88,O=C([O-])CCCCCN1C(=O)C=CC1=O,0,0,0,4.72,['4.72'],0
89,O=C([O-])CCCCCCCN1C(=O)C=CC1=O,0,0,0,4.90,['4.90'],0
90,O=C([O-])C1CC#CC#CC1,0,0,0,3.89,['3.89'],0
91,ON=C1CSCSC1,0,0,0,11.19,['11.19'],0
92,ON=C1CSCS1,0,0,0,10.86,['10.86'],0
93,O=C1CSC(=[NH+]O)N1,0,0,0,12.39,['12.39'],0
94,[NH3+]C12CC3CC(CC(C3)C1)C2,0,0,0,10.55,['10.55'],0
95,O=NN(CCCl)C(=O)NC1CCC(=O)NC1=O,0,0,0,7.90,['7.90'],0
96,O=C([O-])C1CCCC(O)C1,0,0,0,4.71,['4.71'],0
97,O=C([O-])C1CCC(O)CC1,0,0,0,5.20,['5.20'],0
98,N#CC12CCC(C(=O)[O-])(CC1)CC2,0,0,0,5.90,['5.90'],0
99,O=C([O-])C12CCC(Br)(CC1)CC2,0,0,0,6.08,['6.08'],0
