,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
62,NS(=O)(=O)c1nn2c(=O)n(CCCl)c(=O)nc2s1,O,0,0,7.1,['7.10'],['pKa_prospector']
63,O=C([O-])CCI,O,0,0,4.09,['4.09'],['pKa_prospector']
64,[NH3+]CCC(Cl)(Cl)Cl,O,0,0,9.57,['9.57'],['pKa_prospector']
65,[NH3+]CCC=C(Cl)Cl,O,0,0,10.3,['10.30'],['pKa_prospector']
66,[NH3+]CCCBr,O,0,0,8.93,['8.93'],['pKa_prospector']
67,[NH3+]CCCS(=O)(=O)[O-],O,0,0,10.05,['10.05'],['pKa_prospector']
68,NC(=O)NCCC(=O)[O-],O,0,0,4.49,['4.49'],['pKa_prospector']
69,OCCCNc1nc(NCCCO)nc(NCCCO)n1,O,0,0,5.48,['5.48'],['pKa_prospector']
70,OCC[NH+](CCO)CCO,O,0,0,7.81,['7.81'],['pKa_prospector']
71,Nc1nc(N)nc(N(CCO)CCO)n1,O,0,0,5.11,['5.11'],['pKa_prospector']
72,Nc1nc(NCCO)nc(NCCO)n1,O,0,0,5.18,['5.18'],['pKa_prospector']
73,Nc1nc(NCO)nc(NCO)n1,O,0,0,4.8,['4.80'],['pKa_prospector']
74,OCNc1nc(NCO)nc(NCO)n1,O,0,0,4,['4.00'],['pKa_prospector']
75,[NH3+]Cc1c(F)c(F)c(F)c(F)c1F,O,0,0,7.67,['7.67'],['pKa_prospector']
76,NS(=O)(=O)C1=NN2C(=NC(=O)NS2(=O)=O)S1,O,0,0,7.2,['7.20'],['pKa_prospector']
77,ON=C1OC(C(Cl)(Cl)Cl)OC1C(Cl)(Cl)Cl,O,0,0,11.19,['11.19'],['pKa_prospector']
78,O=C([O-])C1OC(O)C(O)C(O)C1O,O,0,0,3.18,['3.18'],['pKa_prospector']
79,O=C1C=C([O-])C(Br)O1,O,0,0,2.23,['2.23'],['pKa_prospector']
80,O=C1C=C([O-])C(Cl)O1,O,0,0,2.13,['2.13'],['pKa_prospector']
81,O=C1C=C([O-])C(I)O1,O,0,0,2.31,['2.31'],['pKa_prospector']
82,O=C1C=C([O-])C([N+](=O)[O-])O1,O,0,0,1.68,['1.68'],['pKa_prospector']
83,O=C1C=CC(=NO)C(Cl)=C1,O,0,0,5.68,['5.68'],['pKa_prospector']
84,O=C([O-])CN1C(=O)C=CC1=O,O,0,0,2.88,['2.88'],['pKa_prospector']
85,O=C([O-])CCN1C(=O)C=CC1=O,O,0,0,4.18,['4.18'],['pKa_prospector']
86,O=C([O-])CCCN1C(=O)C=CC1=O,O,0,0,4.56,['4.56'],['pKa_prospector']
87,O=C([O-])CCCCN1C(=O)C=CC1=O,O,0,0,4.62,['4.62'],['pKa_prospector']
88,O=C([O-])CCCCCN1C(=O)C=CC1=O,O,0,0,4.72,['4.72'],['pKa_prospector']
89,O=C([O-])CCCCCCCN1C(=O)C=CC1=O,O,0,0,4.9,['4.90'],['pKa_prospector']
90,O=C([O-])C1CC#CC#CC1,O,0,0,3.89,['3.89'],['pKa_prospector']
91,ON=C1CSCSC1,O,0,0,11.19,['11.19'],['pKa_prospector']
92,ON=C1CSCS1,O,0,0,10.86,['10.86'],['pKa_prospector']
93,O=C1CSC(=[NH+]O)N1,O,0,0,12.39,['12.39'],['pKa_prospector']
94,[NH3+]C12CC3CC(CC(C3)C1)C2,O,0,0,10.55,['10.55'],['pKa_prospector']
95,O=NN(CCCl)C(=O)NC1CCC(=O)NC1=O,O,0,0,7.9,['7.90'],['pKa_prospector']
96,O=C([O-])C1CCCC(O)C1,O,0,0,4.71,['4.71'],['pKa_prospector']
97,O=C([O-])C1CCC(O)CC1,O,0,0,5.2,['5.20'],['pKa_prospector']
98,N#CC12CCC(C(=O)[O-])(CC1)CC2,O,0,0,5.9,['5.90'],['pKa_prospector']
99,O=C([O-])C12CCC(Br)(CC1)CC2,O,0,0,6.08,['6.08'],['pKa_prospector']
100,O=C([O-])C12CCC(O)(CC1)CC2,O,0,0,6.33,['6.33'],['pKa_prospector']
101,O=C([O-])C12CCC(CC1)CC2,O,0,0,6.75,['6.75'],['pKa_prospector']
102,O=C([O-])CN=C1CCCC1,O,0,0,8.72,['8.72'],['pKa_prospector']
103,O=C([O-])CN=C1CCCCC1,O,0,0,9.48,['9.48'],['pKa_prospector']
104,NC(=N[N+](=O)[O-])NN=C1CCCCC1,O,0,0,8.8,['8.80'],['pKa_prospector']
105,N#CC1CCCCC1C(=O)[O-],O,0,0,3.86,['3.86'],['pKa_prospector']
106,O=C([O-])C1CCCCC1O,O,0,0,4.74,['4.74'],['pKa_prospector']
107,[NH3+]C1CCCCC1Cl,O,0,0,9.49,['9.49'],['pKa_prospector']
108,[NH3+]C1CCCCCC1O,O,0,0,9.25,['9.25'],['pKa_prospector']
109,O=NN(CCCl)C(=O)NC(C(=O)[O-])C1CCCC1,O,0,0,4.04,['4.04'],['pKa_prospector']
110,O=C([O-])COC1CCCC1,O,0,0,3.7,['3.70'],['pKa_prospector']
111,O=C([O-])C1C=CCCCC1,O,0,0,4.58,['4.58'],['pKa_prospector']
112,N#CC(C(=O)[O-])C1CCCCC1,O,0,0,2.37,['2.37'],['pKa_prospector']
113,O=NN(CCCl)C(=O)NC(C(=O)[O-])C1CCCCC1,O,0,0,3.57,['3.57'],['pKa_prospector']
114,C1CCC(C23CCC[NH+]2CCO3)CC1,O,0,0,10.29,['10.29'],['pKa_prospector']
115,C1=C(C2CCCCC2)[NH2+]CC1,O,0,0,7.91,['7.91'],['pKa_prospector']
116,O=C([O-])C1CCCCC1C1CCCCC1,O,0,0,6.53,['6.53'],['pKa_prospector']
117,C1CCC(C2CCC[NH2+]2)CC1,O,0,0,10.67,['10.67'],['pKa_prospector']
118,O=C([O-])CCC1CCCCC1,O,0,0,4.91,['4.91'],['pKa_prospector']
119,O=C([O-])CCCC1CCCCC1,O,0,0,4.95,['4.95'],['pKa_prospector']
120,O=C([O-])COCC1CCCCC1,O,0,0,3.9,['3.90'],['pKa_prospector']
121,C1CCC(Cc2nnn[n-]2)CC1,O,0,0,5.37,['5.37'],['pKa_prospector']
122,O=C([O-])COC1CCCCC1,O,0,0,3.54,['3.54'],['pKa_prospector']
123,O=C([O-])CSC1CCCCC1,O,0,0,4.49,['4.49'],['pKa_prospector']
124,O=C1NC(=S)NC12CCCCC2,O,0,0,8.79,['8.79'],['pKa_prospector']
125,C1CCC2=[NH+]CCCN2CC1,O,0,0,14.3,['14.30'],['pKa_prospector']
126,O=C([O-])COC1CCC2CCCCC2C1,O,0,0,3.64,['3.64'],['pKa_prospector']
127,O=C([O-])C1=CCCCCC1,O,0,0,5.01,['5.01'],['pKa_prospector']
128,O=C([O-])C[NH+]1CCCCCC1,O,0,0,9.48,['9.48'],['pKa_prospector']
129,S=C(S)N1CCCC1,O,0,0,3,['3.00'],['pKa_prospector']
130,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,O,0,0,6.4,['6.40'],['pKa_prospector']
131,O=c1c2c(nc3n1CCC3)CCCC2,O,0,0,3.18,['3.18'],['pKa_prospector']
132,O=c1c2c(nc3n1CCCC3)CCCC2,O,0,0,4.47,['4.47'],['pKa_prospector']
133,Nc1c2c([nH+]c3c1CCC3)CCCC2,O,0,0,10.2,['10.20'],['pKa_prospector']
134,Nc1c2c([nH+]c3c1CCCC3)CCCC2,O,0,0,11,['11.00'],['pKa_prospector']
135,Nc1c2c([nH+]c3c1CCCO3)CCCC2,O,0,0,7.8,['7.80'],['pKa_prospector']
136,C1CCc2c(nnc3c2CCCC3)C1,O,0,0,6.12,['6.12'],['pKa_prospector']
137,C1CCc2nnc3c(c2CC1)CCCC3,O,0,0,6.03,['6.03'],['pKa_prospector']
138,O=c1c2c(nc3n1CCCC3)CCC2,O,0,0,3.46,['3.46'],['pKa_prospector']
139,O=C1C=C([O-])CCN1C1OC(CO)C(O)C1O,O,0,0,5.99,['5.99'],['pKa_prospector']
140,OCC1=CC[NH+]2CCC(O)C12,O,0,0,8.88,['8.88'],['pKa_prospector']
141,OCC1CC[NH+]2CCC(O)C12,O,0,0,10.2,['10.20'],['pKa_prospector']
142,N#CC1=C[NH+]2CCC1CC2,O,0,0,5.84,['5.84'],['pKa_prospector']
143,NC(=O)C1=C[NH+]2CCC1CC2,O,0,0,7.32,['7.32'],['pKa_prospector']
144,N#CC1CN2CCC1CC2,O,0,0,7.81,['7.81'],['pKa_prospector']
145,NC(=O)C1C[NH+]2CCC1CC2,O,0,0,9.67,['9.67'],['pKa_prospector']
146,C1C[NH+]2CCC3OCC1C32,O,0,0,9.4,['9.40'],['pKa_prospector']
147,O=[N+]([O-])N=C1NCCN1,O,0,0,-1.36,['-1.36'],['pKa_prospector']
148,O=[N+]([O-])N=C1NCCCN1,O,0,0,-0.71,['-0.71'],['pKa_prospector']
149,NS(=O)(=O)C1=NN2CCS(=O)(=O)N=C2S1,O,0,0,6.7,['6.70'],['pKa_prospector']
150,O=C1NCCSC1=NO,O,0,0,9.07,['9.07'],['pKa_prospector']
151,ON=C1COCCS1,O,0,0,10.94,['10.94'],['pKa_prospector']
152,ON=C1CSCCS1,O,0,0,11.3,['11.30'],['pKa_prospector']
153,ON=C1SCCS1,O,0,0,10.81,['10.81'],['pKa_prospector']
154,Nc1c2c([nH+]c3c1CCCO3)CCC2,O,0,0,7.8,['7.80'],['pKa_prospector']
155,O=c1c2c(nc3n1CCC3)CCC2,O,0,0,2.24,['2.24'],['pKa_prospector']
156,C1N2CN3CN1C[NH+](C2)C3,O,0,0,6.3,['6.30'],['pKa_prospector']
157,ON=C1SCSCS1,O,0,0,9.98,['9.98'],['pKa_prospector']
